metric,value
Total Reservations,199.0
Emails Sent,195.0
Emails Failed,4.0
Email Success Rate,0.9798994974874372
Total Revenue,263791.98
Average Fare,1325.5878391959798
Status: Cancelled,48.0
Status: Completed,41.0
Status: Confirmed,39.0
Status: Checked-in,35.0
Status: Pending,33.0
Status: Error,2.0
Status: Processing,1.0
Top Origin: HNL,12.0
Top Origin: PDX,11.0
Top Origin: FLL,9.0
Top Origin: DTW,9.0
Top Origin: AUS,9.0
Top Origin: LAS,9.0
Top Origin: SEA,8.0
Top Origin: DEN,8.0
Top Origin: ORD,8.0
Top Origin: TPA,8.0
Top Destination: IAH,10.0
Top Destination: SEA,10.0
Top Destination: EWR,9.0
Top Destination: MDW,9.0
Top Destination: FLL,8.0
Top Destination: PHL,8.0
Top Destination: PHX,8.0
Top Destination: PDX,8.0
Top Destination: ATL,8.0
Top Destination: DTW,8.0
